removed,reason
bone element environment,anatomical entity environment
environment determined by a metazoan secretion,anatomical entity environment
mouth environment,anatomical entity environment
axilla skin environment,anatomical entity environment
integumental system environment,anatomical entity environment
anatomical entity environment,anatomical entity environment
face skin environment,anatomical entity environment
fungi-associated environment,anatomical entity environment
intestine environment,anatomical entity environment
skin environment,anatomical entity environment
environment associated with a fungal tissue,anatomical entity environment
digestive tract environment,anatomical entity environment
feather environment,anatomical entity environment
mushroom environment,anatomical entity environment
heart vasculature,anatomical entity
axilla,anatomical entity
skeletal element,anatomical entity
hindgut,anatomical entity
outer epithelium,anatomical entity
muscle structure,anatomical entity
subdivision of tube,anatomical entity
anatomical surface region,anatomical entity
cardiac chamber,anatomical entity
thoracic segment of trunk,anatomical entity
extraembryonic epithelium,anatomical entity
intra-ocular muscle,anatomical entity
neural plate,anatomical entity
vasculature,anatomical entity
bone foramen,anatomical entity
mixed endoderm/mesoderm-derived structure,anatomical entity
ectoderm of buccopharyngeal membrane,anatomical entity
cranial bone,anatomical entity
head or neck skin,anatomical entity
cloacal vent,anatomical entity
future diencephalon,anatomical entity
embryonic head,anatomical entity
rhombencephalon neural crest,anatomical entity
eye muscle,anatomical entity
ectoderm-derived structure,anatomical entity
jaw mesenchyme,anatomical entity
vascular plexus,anatomical entity
future mouth,anatomical entity
sweat,anatomical entity
anterior lateral plate mesoderm,anatomical entity
skeletal system,anatomical entity
jaw region,anatomical entity
anatomical junction,anatomical entity
mouth mucosa,anatomical entity
entire sense organ system,anatomical entity
digestive system element,anatomical entity
vasculature of trunk,anatomical entity
skeleton,anatomical entity
intestinal epithelium,anatomical entity
hemopoietic organ,anatomical entity
synovial fluid,anatomical entity
1st arch mesenchyme,anatomical entity
bodily fluid,anatomical entity
optic neural crest,anatomical entity
vascular cord,anatomical entity
presumptive segmental plate,anatomical entity
prechordal plate,anatomical entity
dense irregular connective tissue,anatomical entity
excreta,anatomical entity
ecto-epithelium,anatomical entity
heart blood vessel,anatomical entity
head,anatomical entity
gill,anatomical entity
endoderm of foregut,anatomical entity
mesenchyme from rhombencephalic neural crest,anatomical entity
vasculature of organ,anatomical entity
endoderm of hindgut,anatomical entity
ventricular system of central nervous system,anatomical entity
neural rod,anatomical entity
axial mesoderm,anatomical entity
presumptive blood,anatomical entity
eye epithelium,anatomical entity
bone of craniocervical region,anatomical entity
neural tube derived brain,anatomical entity
mandibular process mesenchyme from neural crest,anatomical entity
musculature of pectoral girdle,anatomical entity
lateral structure,anatomical entity
dermomyotome,anatomical entity
cuboidal epithelium,anatomical entity
skin of body,anatomical entity
uvea,anatomical entity
ciliary processes,anatomical entity
trunk paraxial mesoderm,anatomical entity
simple cuboidal epithelium,anatomical entity
synovial joint of pectoral girdle,anatomical entity
cleaving embryo,anatomical entity
brain,anatomical entity
regional part of brain,anatomical entity
1st arch mandibular component,anatomical entity
holothurian digestive tract,anatomical entity
respiratory system blood vessel,anatomical entity
cranial placode,anatomical entity
pharyngeal arch 1,anatomical entity
articulation,anatomical entity
wall of heart,anatomical entity
pharyngeal region of foregut,anatomical entity
skin of face,anatomical entity
mucosa,anatomical entity
vitreous humor,anatomical entity
future nervous system,anatomical entity
pre-chordal neural plate,anatomical entity
nucleus of brain,anatomical entity
lens placode,anatomical entity
reproductive system,anatomical entity
ciliary body,anatomical entity
vasculature of eye,anatomical entity
musculature,anatomical entity
head connective tissue,anatomical entity
skin epithelium,anatomical entity
simple columnar epithelium,anatomical entity
loose connective tissue,anatomical entity
lens of camera-type eye,anatomical entity
trunk region element,anatomical entity
feather,anatomical entity
interstitial fluid,anatomical entity
wall of lateral ventricle,anatomical entity
surface structure,anatomical entity
neural groove,anatomical entity
lymphatic vessel,anatomical entity
cerebrospinal fluid,anatomical entity
germ layer / neural crest,anatomical entity
anatomical collection,anatomical entity
neural tissue,anatomical entity
embryonic cardiovascular system,anatomical entity
head bone,anatomical entity
hypothalamic nucleus,anatomical entity
anatomical wall,anatomical entity
cell condensation,anatomical entity
1st arch mesenchyme from neural crest,anatomical entity
