source class	source file or URL	slot	section	column order	destination class
Biosample	local/nmdc.yaml	abs_air_humidity	mixs_core_section	61	BuiltEnvInterface
Biosample	local/nmdc.yaml	add_recov_method	mixs_core_section	289	HcrFluidsSwabsInterface
Biosample	local/nmdc.yaml	additional_info	mixs_core_section	290	HcrCoresInterface|HcrFluidsSwabsInterface
Biosample	local/nmdc.yaml	address	mixs_core_section	62	BuiltEnvInterface
Biosample	local/nmdc.yaml	adj_room	mixs_core_section	63	BuiltEnvInterface
Biosample	local/nmdc.yaml	aero_struc	mixs_core_section	64	BuiltEnvInterface
Biosample	local/nmdc.yaml	agrochem_addition	mixs_section	2	SoilInterface
Biosample	local/nmdc.yaml	air_PM_concen	mixs_core_section	48	AirInterface
Biosample	local/nmdc.yaml	air_temp	mixs_core_section	65	BuiltEnvInterface
Biosample	local/nmdc.yaml	air_temp_regm	mixs_modified_section	16	PlantAssociatedInterface|SedimentInterface|SoilInterface|WaterInterface
Biosample	local/nmdc.yaml	al_sat	mixs_section	3	SoilInterface
Biosample	local/nmdc.yaml	al_sat_meth	mixs_section	4	SoilInterface
Biosample	local/nmdc.yaml	alkalinity	mixs_core_section	1	BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|WastewaterSludgeInterface|WaterInterface
Biosample	local/nmdc.yaml	alkalinity_method	mixs_core_section	218	HcrCoresInterface|HcrFluidsSwabsInterface|SedimentInterface|WaterInterface
Biosample	local/nmdc.yaml	alkyl_diethers	mixs_core_section	2	BiofilmInterface|SedimentInterface|WaterInterface
Biosample	local/nmdc.yaml	alt	mixs_modified_section	26	AirInterface|BiofilmInterface|BuiltEnvInterface|HostAssociatedInterface|MiscEnvsInterface
Biosample	local/nmdc.yaml	aminopept_act	mixs_core_section	3	BiofilmInterface|SedimentInterface|WaterInterface
Biosample	local/nmdc.yaml	ammonium	mixs_core_section	4	BiofilmInterface|HcrCoresInterface|HcrFluidsSwabsInterface|MiscEnvsInterface|SedimentInterface|WaterInterface
Biosample	local/nmdc.yaml	ammonium_nitrogen	mixs_inspired_section	1005	SoilInterface
Biosample	local/nmdc.yaml	amount_light	mixs_core_section	66	BuiltEnvInterface
Biosample	local/nmdc.yaml	analysis_type	sample_id_section	3	DhMultiviewCommonColumnsMixin
Biosample	local/nmdc.yaml	ances_data	mixs_core_section	237	HostAssociatedInterface|PlantAssociatedInterface
Biosample	local/nmdc.yaml	annual_precpt	mixs_section	5	SoilInterface
Biosample	local/nmdc.yaml	annual_temp	mixs_section	6	SoilInterface
